Method,HV,Range,Sparsity,Time,HV,Range,Sparsity,Time,HV,Range,Sparsity,Time
PSL-EPO,11.16,1.18,0.74,197.39,11.1,1.38,1.99,196.15,11.69,1.31,0.19,197.41
PSL-LS,\textbf{11.89},\textbf{1.56},4.51,8.81,8.75,0.0,0.0,9.27,12.05,\textbf{1.56},0.63,9.66
PSL-Tche,11.5,1.38,0.53,19.61,11.24,1.44,1.66,19.86,11.82,1.42,0.31,19.96
PSL-HV1,11.69,1.48,1.47,35.45,10.95,1.32,1.14,35.63,\textbf{12.06},\textbf{1.56},1.26,36.23
PSL-HV2,11.7,1.48,0.92,28.9,\textbf{11.38},\textbf{1.49},2.26,29.03,11.93,1.49,0.43,29.0
PSL-EPO,11.24,1.43,1.17,196.79,11.26,1.22,0.35,511.36,12.0,1.26,0.26,1274.17
PSL-LS,11.5,\textbf{1.56},93.13,9.71,\textbf{11.89},\textbf{1.56},3.17,38.56,12.14,1.5,2.54,121.62
PSL-Tche,11.48,1.53,1.16,20.21,11.5,1.37,0.44,49.15,12.05,1.35,0.45,131.13
PSL-HV1,\textbf{11.55},\textbf{1.56},2.64,35.6,11.86,1.55,1.42,65.49,\textbf{12.16},\textbf{1.52},2.25,146.44
PSL-HV2,11.42,1.51,1.09,29.81,11.68,1.47,0.92,57.35,12.09,1.44,1.01,136.16
PSL-EPO,3.46,0.34,0.39,4392.7,36.41,0.62,0.49,272.2,2.47,0.34,2.76,9563.41
PSL-LS,3.59,0.5,1.14,323.15,35.56,0.19,0.87,13.37,2.58,0.37,1.96,440.35
PSL-Tche,3.51,0.38,0.71,329.47,37.91,0.19,1.53,23.98,2.55,0.38,2.34,452.21
PSL-HV1,\textbf{3.61},\textbf{0.66},6.02,343.66,40.65,\textbf{0.69},2.47,36.37,\textbf{2.62},\textbf{0.54},6.61,459.7
PSL-HV2,3.59,0.49,1.98,342.06,\textbf{40.94},\textbf{0.69},5.9,34.05,2.6,0.49,6.17,462.37
